word1,word2,count
"Classification/Characterization","Galactic",15
"Classification/Characterization","Supernovae",24
"Classification/Characterization","Cosmological",9
"Classification/Characterization","MultiwavelengthCharacterization/Counterparts",31
"Classification/Characterization","TidalDisruptionEvents",7
"Classification/Characterization","Non-degenerateEruptiveVariables",7
"Classification/Characterization","FastTransients",24
"Classification/Characterization","Microlensing",5
"Classification/Characterization","Classification/Characterization",0
"Classification/Characterization","MagneticallyActiveStars",2
"Classification/Characterization","DistanceScales",9
"Classification/Characterization","PulsatingVariables",13
"Classification/Characterization","TransitingPlanets",12
"Classification/Characterization","Blazars",1
"MagneticallyActiveStars","InteractingBinaries",2
"MagneticallyActiveStars","Galactic",3
"MagneticallyActiveStars","Supernovae",0
"MagneticallyActiveStars","Cosmological",0
"MagneticallyActiveStars","MultiwavelengthCharacterization/Counterparts",2
"MagneticallyActiveStars","TidalDisruptionEvents",0
"MagneticallyActiveStars","Non-degenerateEruptiveVariables",0
"MagneticallyActiveStars","FastTransients",0
"MagneticallyActiveStars","Microlensing",0
"MagneticallyActiveStars","Classification/Characterization",2
"MagneticallyActiveStars","MagneticallyActiveStars",0
"MagneticallyActiveStars","DistanceScales",0
"MagneticallyActiveStars","PulsatingVariables",2
"MagneticallyActiveStars","TransitingPlanets",2
"MagneticallyActiveStars","Blazars",0
"DistanceScales","InteractingBinaries",1
"DistanceScales","Galactic",7
"DistanceScales","Supernovae",6
"DistanceScales","Cosmological",8
"DistanceScales","MultiwavelengthCharacterization/Counterparts",4
"DistanceScales","TidalDisruptionEvents",0
"DistanceScales","Non-degenerateEruptiveVariables",2
"DistanceScales","FastTransients",3
"DistanceScales","Microlensing",2
"DistanceScales","Classification/Characterization",9
"DistanceScales","MagneticallyActiveStars",0
"DistanceScales","DistanceScales",0
"DistanceScales","PulsatingVariables",14
"DistanceScales","TransitingPlanets",2
"DistanceScales","Blazars",0
"PulsatingVariables","InteractingBinaries",10
"PulsatingVariables","Galactic",9
"PulsatingVariables","Supernovae",6
"PulsatingVariables","Cosmological",3
"PulsatingVariables","MultiwavelengthCharacterization/Counterparts",3
"PulsatingVariables","TidalDisruptionEvents",2
"PulsatingVariables","Non-degenerateEruptiveVariables",5
"PulsatingVariables","FastTransients",5
"PulsatingVariables","Microlensing",1
"PulsatingVariables","Classification/Characterization",13
"PulsatingVariables","MagneticallyActiveStars",2
"PulsatingVariables","DistanceScales",14
"PulsatingVariables","PulsatingVariables",0
"PulsatingVariables","TransitingPlanets",6
"PulsatingVariables","Blazars",0
"TransitingPlanets","InteractingBinaries",6
"TransitingPlanets","Galactic",8
"TransitingPlanets","Supernovae",2
"TransitingPlanets","Cosmological",0
"TransitingPlanets","MultiwavelengthCharacterization/Counterparts",7
"TransitingPlanets","TidalDisruptionEvents",0
"TransitingPlanets","Non-degenerateEruptiveVariables",1
"TransitingPlanets","FastTransients",4
"TransitingPlanets","Microlensing",7
"TransitingPlanets","Classification/Characterization",12
"TransitingPlanets","MagneticallyActiveStars",2
"TransitingPlanets","DistanceScales",2
"TransitingPlanets","PulsatingVariables",6
"TransitingPlanets","TransitingPlanets",0
"TransitingPlanets","Blazars",1
"Blazars","InteractingBinaries",3
"Blazars","Galactic",0
"Blazars","Supernovae",0
"Blazars","Cosmological",0
"Blazars","MultiwavelengthCharacterization/Counterparts",6
"Blazars","TidalDisruptionEvents",2
"Blazars","Non-degenerateEruptiveVariables",0
"Blazars","FastTransients",1
"Blazars","Microlensing",0
"Blazars","Classification/Characterization",1
"Blazars","MagneticallyActiveStars",0
"Blazars","DistanceScales",0
"Blazars","PulsatingVariables",0
"Blazars","TransitingPlanets",1
"Blazars","Blazars",0
