word1,word2,count
"Microlensing","Non-degenerateEruptiveVariables",2
"Microlensing","FastTransients",4
"Microlensing","Microlensing",0
"Microlensing","GravitationalWaves",3
"Microlensing","Classification/Characterization",3
"Microlensing","MagneticallyActiveStars",0
"Microlensing","DistanceScales",2
"Microlensing","PulsatingVariables",1
"Microlensing","TransitingPlanets",5
"Microlensing","Blazars",0
"GravitationalWaves","InteractingBinaries",2
"GravitationalWaves","Galactic",4
"GravitationalWaves","Supernovae",14
"GravitationalWaves","Cosmological",7
"GravitationalWaves","MultiwavelengthCharacterization/Counterparts",12
"GravitationalWaves","TidalDisruptionEvents",4
"GravitationalWaves","Non-degenerateEruptiveVariables",1
"GravitationalWaves","FastTransients",14
"GravitationalWaves","Microlensing",3
"GravitationalWaves","GravitationalWaves",0
"GravitationalWaves","Classification/Characterization",7
"GravitationalWaves","MagneticallyActiveStars",0
"GravitationalWaves","DistanceScales",2
"GravitationalWaves","PulsatingVariables",1
"GravitationalWaves","TransitingPlanets",2
"GravitationalWaves","Blazars",1
"Classification/Characterization","InteractingBinaries",7
"Classification/Characterization","Galactic",11
"Classification/Characterization","Supernovae",16
"Classification/Characterization","Cosmological",7
"Classification/Characterization","MultiwavelengthCharacterization/Counterparts",16
"Classification/Characterization","TidalDisruptionEvents",4
"Classification/Characterization","Non-degenerateEruptiveVariables",4
"Classification/Characterization","FastTransients",17
"Classification/Characterization","Microlensing",3
"Classification/Characterization","GravitationalWaves",7
"Classification/Characterization","Classification/Characterization",0
"Classification/Characterization","MagneticallyActiveStars",2
"Classification/Characterization","DistanceScales",8
"Classification/Characterization","PulsatingVariables",8
"Classification/Characterization","TransitingPlanets",9
"Classification/Characterization","Blazars",1
"MagneticallyActiveStars","InteractingBinaries",2
"MagneticallyActiveStars","Galactic",3
"MagneticallyActiveStars","Supernovae",0
"MagneticallyActiveStars","Cosmological",0
"MagneticallyActiveStars","MultiwavelengthCharacterization/Counterparts",2
"MagneticallyActiveStars","TidalDisruptionEvents",0
"MagneticallyActiveStars","Non-degenerateEruptiveVariables",0
"MagneticallyActiveStars","FastTransients",0
"MagneticallyActiveStars","Microlensing",0
"MagneticallyActiveStars","GravitationalWaves",0
"MagneticallyActiveStars","Classification/Characterization",2
"MagneticallyActiveStars","MagneticallyActiveStars",0
"MagneticallyActiveStars","DistanceScales",0
"MagneticallyActiveStars","PulsatingVariables",2
"MagneticallyActiveStars","TransitingPlanets",2
"MagneticallyActiveStars","Blazars",0
"DistanceScales","InteractingBinaries",1
"DistanceScales","Galactic",3
"DistanceScales","Supernovae",3
"DistanceScales","Cosmological",4
"DistanceScales","MultiwavelengthCharacterization/Counterparts",1
"DistanceScales","TidalDisruptionEvents",0
"DistanceScales","Non-degenerateEruptiveVariables",2
"DistanceScales","FastTransients",2
"DistanceScales","Microlensing",2
"DistanceScales","GravitationalWaves",2
"DistanceScales","Classification/Characterization",8
"DistanceScales","MagneticallyActiveStars",0
"DistanceScales","DistanceScales",0
"DistanceScales","PulsatingVariables",6
"DistanceScales","TransitingPlanets",2
"DistanceScales","Blazars",0
"PulsatingVariables","InteractingBinaries",8
"PulsatingVariables","Galactic",4
"PulsatingVariables","Supernovae",3
"PulsatingVariables","Cosmological",0
"PulsatingVariables","MultiwavelengthCharacterization/Counterparts",1
"PulsatingVariables","TidalDisruptionEvents",1
"PulsatingVariables","Non-degenerateEruptiveVariables",4
"PulsatingVariables","FastTransients",2
"PulsatingVariables","Microlensing",1
"PulsatingVariables","GravitationalWaves",1
"PulsatingVariables","Classification/Characterization",8
"PulsatingVariables","MagneticallyActiveStars",2
"PulsatingVariables","DistanceScales",6
"PulsatingVariables","PulsatingVariables",0
"PulsatingVariables","TransitingPlanets",3
"PulsatingVariables","Blazars",0
"TransitingPlanets","InteractingBinaries",4
"TransitingPlanets","Galactic",6
"TransitingPlanets","Supernovae",1
"TransitingPlanets","Cosmological",0
"TransitingPlanets","MultiwavelengthCharacterization/Counterparts",5
"TransitingPlanets","TidalDisruptionEvents",0
"TransitingPlanets","Non-degenerateEruptiveVariables",1
"TransitingPlanets","FastTransients",2
"TransitingPlanets","Microlensing",5
"TransitingPlanets","GravitationalWaves",2
"TransitingPlanets","Classification/Characterization",9
"TransitingPlanets","MagneticallyActiveStars",2
"TransitingPlanets","DistanceScales",2
"TransitingPlanets","PulsatingVariables",3
"TransitingPlanets","TransitingPlanets",0
"TransitingPlanets","Blazars",1
"Blazars","InteractingBinaries",3
"Blazars","Galactic",0
"Blazars","Supernovae",0
"Blazars","Cosmological",0
"Blazars","MultiwavelengthCharacterization/Counterparts",5
"Blazars","TidalDisruptionEvents",2
"Blazars","Non-degenerateEruptiveVariables",0
"Blazars","FastTransients",1
"Blazars","Microlensing",0
"Blazars","GravitationalWaves",1
"Blazars","Classification/Characterization",1
"Blazars","MagneticallyActiveStars",0
"Blazars","DistanceScales",0
"Blazars","PulsatingVariables",0
"Blazars","TransitingPlanets",1
"Blazars","Blazars",0
